policy_id,model_id,phase,aggregation,smoothing,reliability_alpha,tau_up,tau_down,k_up,k_down,cooldown_s,tp,normal_false_events,fn,wrong_window_accident_alerts,duplicate_accident_alerts,precision,recall,f1,fph,mean_signed_delay_s,threshold,persistence_window_s,required_active_observations,merge_gap_s,feasible_under_fph5,selected_calibration_policy,pareto_frontier,dominated,selection_rule,fixed_policy_validation_tp,fixed_policy_validation_normal_fp,fixed_policy_validation_fn,fixed_policy_validation_recall,fixed_policy_validation_precision,fixed_policy_validation_f1,fixed_policy_validation_fph
5362fec938e60bf1dd80,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.1,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
03d520deb461c4a49827,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.15,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
3e4bfd792d48a7ee00c0,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.2,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
404650f82b496f11f4ca,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.25,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
4af9af828a5782b6a94a,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.3,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
ce7bfd04005169dd60d9,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.35,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
1eb27ec62b90ae68e399,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.4,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
d194ed1c0b5507a5559d,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.45,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
69e0131a7438a6de3258,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.6,0.5,2,3,2.0,14,6,33,10,0,0.4666666666666667,0.2978723404255319,0.3636363636363636,3.66203487070983,-0.6028571428571429,0.6,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
6286f91b86d9f2ed657a,causal14_clean,detail,trimmed_mean,trailing60,0.0,0.65,0.05,2,3,2.0,10,4,37,10,0,0.4166666666666667,0.2127659574468085,0.2816901408450704,2.44135658047322,-1.028,0.65,0.4,2,2.0,True,False,True,False,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
