policy_id,model_id,phase,aggregation,smoothing,reliability_alpha,tau_up,tau_down,k_up,k_down,cooldown_s,tp,normal_false_events,fn,wrong_window_accident_alerts,duplicate_accident_alerts,precision,recall,f1,fph,mean_signed_delay_s,threshold,persistence_window_s,required_active_observations,merge_gap_s,feasible_under_fph5,selected_calibration_policy,pareto_frontier,dominated,selection_rule,fixed_policy_validation_tp,fixed_policy_validation_normal_fp,fixed_policy_validation_fn,fixed_policy_validation_recall,fixed_policy_validation_precision,fixed_policy_validation_f1,fixed_policy_validation_fph
d72c47993a19b4f2409c,trackfeat132,screen,top5_mean,trailing5,0.0,0.6,0.4,2,3,2.0,27,12,20,14,0,0.5094339622641509,0.574468085106383,0.54,7.32406974141966,-0.8311111111111111,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
676be90792faa2de7d5f,trackfeat132,screen,top5_mean,trailing10,0.0,0.6,0.4,2,3,2.0,22,10,25,12,0,0.5,0.4680851063829787,0.4835164835164835,6.103391451183049,-0.8618181818181818,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
51d6590ad404884010f6,trackfeat132,screen,top5_mean,ema5,0.0,0.6,0.4,2,3,2.0,24,12,23,17,0,0.4528301886792453,0.5106382978723404,0.48,7.32406974141966,-0.7266666666666667,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
eda3d3a0b924cfd006fd,trackfeat132,screen,top5_mean,ema10,0.0,0.6,0.4,2,3,2.0,22,13,25,13,0,0.4583333333333333,0.4680851063829787,0.4631578947368421,7.934408886537964,-0.7745454545454543,0.6,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
1defccaccadcc2ddabeb,trackfeat132,screen,top5_mean,trailing60,0.0,0.6,0.4,2,3,2.0,19,6,28,10,0,0.5428571428571428,0.4042553191489361,0.4634146341463414,3.66203487070983,-0.8189473684210526,0.6,0.4,2,2.0,True,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
808ba409267ba168e498,trackfeat132,detail,mean,none,0.0,0.3,0.05,2,3,2.0,25,24,22,23,1,0.3424657534246575,0.5319148936170213,0.4166666666666666,14.64813948283932,-0.9392,0.3,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
cd1e69a50c0c221f6f80,trackfeat132,detail,mean,none,0.0,0.3,0.1,2,3,2.0,25,24,22,23,1,0.3424657534246575,0.5319148936170213,0.4166666666666666,14.64813948283932,-0.9392,0.3,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
f40868a08428a6857a54,trackfeat132,detail,mean,none,0.0,0.3,0.15,2,3,2.0,25,24,22,24,1,0.3378378378378378,0.5319148936170213,0.4132231404958678,14.64813948283932,-0.9392,0.3,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
eaf80e0e314a0a3d85bb,trackfeat132,detail,mean,none,0.0,0.3,0.2,2,3,2.0,25,24,22,25,1,0.3333333333333333,0.5319148936170213,0.4098360655737705,14.64813948283932,-0.9392,0.3,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
b7542ab9b18e126a1f63,trackfeat132,detail,mean,none,0.0,0.3,0.25,2,3,2.0,25,26,22,25,1,0.3246753246753247,0.5319148936170213,0.4032258064516129,15.868817773075929,-0.9392,0.3,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
9095fb604d134476cc62,trackfeat132,detail,mean,none,0.0,0.35,0.05,2,3,2.0,25,18,22,23,1,0.373134328358209,0.5319148936170213,0.4385964912280702,10.98610461212949,-0.9072000000000002,0.35,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
586a603b37bf9d32cef5,trackfeat132,detail,mean,none,0.0,0.35,0.1,2,3,2.0,25,18,22,23,1,0.373134328358209,0.5319148936170213,0.4385964912280702,10.98610461212949,-0.9072000000000002,0.35,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
87a6f296943921fa08b5,trackfeat132,detail,mean,none,0.0,0.35,0.15,2,3,2.0,25,18,22,24,1,0.3676470588235294,0.5319148936170213,0.4347826086956522,10.98610461212949,-0.9072000000000002,0.35,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
15852d6aed93a4aa8442,trackfeat132,detail,mean,none,0.0,0.35,0.2,2,3,2.0,25,18,22,25,1,0.3623188405797101,0.5319148936170213,0.4310344827586206,10.98610461212949,-0.9072000000000002,0.35,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
dc32518c27465dfbfa22,trackfeat132,detail,mean,none,0.0,0.35,0.25,2,3,2.0,25,20,22,25,1,0.352112676056338,0.5319148936170213,0.423728813559322,12.2067829023661,-0.9072000000000002,0.35,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
105d0d0cc37e9768a222,trackfeat132,detail,mean,none,0.0,0.35,0.3,2,3,2.0,25,20,22,25,1,0.352112676056338,0.5319148936170213,0.423728813559322,12.2067829023661,-0.9072000000000002,0.35,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
809b1cb565c4f39731c9,trackfeat132,detail,mean,none,0.0,0.4,0.05,2,3,2.0,27,13,20,21,1,0.4354838709677419,0.574468085106383,0.4954128440366973,7.934408886537964,-0.906666666666667,0.4,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
5bc48fb063f8560e5485,trackfeat132,detail,mean,none,0.0,0.4,0.1,2,3,2.0,27,13,20,21,1,0.4354838709677419,0.574468085106383,0.4954128440366973,7.934408886537964,-0.906666666666667,0.4,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
df08af37396de6837c02,trackfeat132,detail,mean,none,0.0,0.4,0.15,2,3,2.0,27,13,20,21,1,0.4354838709677419,0.574468085106383,0.4954128440366973,7.934408886537964,-0.906666666666667,0.4,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
773f158fcad297682592,trackfeat132,detail,mean,none,0.0,0.4,0.2,2,3,2.0,27,13,20,22,1,0.4285714285714285,0.574468085106383,0.4909090909090909,7.934408886537964,-0.906666666666667,0.4,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
44b58f21b527c2ff68b8,trackfeat132,detail,mean,none,0.0,0.4,0.25,2,3,2.0,27,13,20,22,1,0.4285714285714285,0.574468085106383,0.4909090909090909,7.934408886537964,-0.906666666666667,0.4,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
11431ad319ce7c26e211,trackfeat132,detail,mean,none,0.0,0.4,0.3,2,3,2.0,27,13,20,22,1,0.4285714285714285,0.574468085106383,0.4909090909090909,7.934408886537964,-0.906666666666667,0.4,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
9e2acbd721815dc7b0c5,trackfeat132,detail,mean,none,0.0,0.4,0.35,2,3,2.0,27,13,20,22,1,0.4285714285714285,0.574468085106383,0.4909090909090909,7.934408886537964,-0.906666666666667,0.4,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
10feb175c7eeb4c520fb,trackfeat132,detail,mean,none,0.0,0.45,0.05,2,3,2.0,26,11,21,21,1,0.4406779661016949,0.5531914893617021,0.490566037735849,6.713730596301354,-0.8492307692307693,0.45,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
891b147d18dc68b499fc,trackfeat132,detail,mean,none,0.0,0.45,0.1,2,3,2.0,26,11,21,21,1,0.4406779661016949,0.5531914893617021,0.490566037735849,6.713730596301354,-0.8492307692307693,0.45,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
3e8fc4eb3308d3f3d68d,trackfeat132,detail,mean,none,0.0,0.45,0.15,2,3,2.0,26,11,21,21,1,0.4406779661016949,0.5531914893617021,0.490566037735849,6.713730596301354,-0.8492307692307693,0.45,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
cda61ffd95fa7d181cdf,trackfeat132,detail,mean,none,0.0,0.45,0.2,2,3,2.0,26,11,21,22,1,0.4333333333333333,0.5531914893617021,0.4859813084112149,6.713730596301354,-0.8492307692307693,0.45,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
b99b523f1b8dbb8ee01f,trackfeat132,detail,mean,none,0.0,0.45,0.25,2,3,2.0,26,11,21,22,1,0.4333333333333333,0.5531914893617021,0.4859813084112149,6.713730596301354,-0.8492307692307693,0.45,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
1540169559b83664df27,trackfeat132,detail,mean,none,0.0,0.45,0.3,2,3,2.0,26,11,21,22,1,0.4333333333333333,0.5531914893617021,0.4859813084112149,6.713730596301354,-0.8492307692307693,0.45,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
bc5fa3b1d43347cfce7a,trackfeat132,detail,mean,none,0.0,0.45,0.35,2,3,2.0,26,11,21,22,1,0.4333333333333333,0.5531914893617021,0.4859813084112149,6.713730596301354,-0.8492307692307693,0.45,0.4,2,2.0,False,False,False,True,retain <=5 normal FPH; maximize recall; within .02 recall highest F1; precision final tie-break,,,,,,,
